level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
5	1	214	0	0	0	580.82	941.41	10.79	33.71	100	w1023
3	1	215	0	0	0	257.656320	941.412115	10.794240	33.708277	-1	###FLOW###
4	1	215	0	0	0	257.656320	941.412115	10.794240	33.708277	-1	###LINE###
5	1	215	0	0	0	257.66	941.41	10.79	33.71	100	w1023
3	1	216	0	0	0	707.150283	926.525242	27.364833	24.004698	-1	###FLOW###
4	1	216	0	0	0	723.724181	945.725544	10.790935	4.804396	-1	###LINE###
5	1	216	0	0	0	723.72	945.73	10.79	4.80	100	6
4	1	216	0	1	0	715.437232	936.125393	14.995388	9.604615	-1	###LINE###
5	1	216	0	1	0	715.44	936.13	15.00	9.60	100	00
4	1	216	0	2	0	707.150283	926.525242	14.873431	9.604328	-1	###LINE###
5	1	216	0	2	0	707.15	926.53	14.87	9.60	100	a1
3	1	217	0	0	0	639.716286	932.536634	31.742040	10.794240	-1	###FLOW###
4	1	217	0	0	0	639.716286	932.536634	31.742040	10.794240	-1	###LINE###
5	1	217	0	0	0	639.72	932.54	31.74	10.79	100	p1017
3	1	218	0	0	0	1486.315314	906.946394	23.942946	13.759200	-1	###FLOW###
4	1	218	0	0	0	1486.315314	906.946394	23.942946	13.759200	-1	###LINE###
5	1	218	0	0	0	1486.32	908.90	6.35	10.79	100	3
5	1	218	0	0	1	1492.72	906.95	5.59	9.44	100	7
5	1	218	0	0	2	1497.03	907.95	3.33	11.24	100	/
5	1	218	0	0	3	1499.07	911.26	11.19	9.44	100	16
3	1	219	0	0	0	1751.777280	976.330700	10.794240	23.875038	-1	###FLOW###
4	1	219	0	0	0	1751.777280	976.330700	10.794240	23.875038	-1	###LINE###
5	1	219	0	0	0	1751.78	993.86	10.79	6.35	100	2
5	1	219	0	0	1	1751.78	976.33	10.79	6.35	100	2
3	1	220	0	0	0	1442.390268	906.946394	23.950398	13.759200	-1	###FLOW###
4	1	220	0	0	0	1442.390268	906.946394	23.950398	13.759200	-1	###LINE###
5	1	220	0	0	0	1442.39	908.90	6.35	10.79	100	1
5	1	220	0	0	1	1448.92	906.95	5.59	9.44	100	9
5	1	220	0	0	2	1453.23	907.95	3.33	11.24	100	/
5	1	220	0	0	3	1455.16	911.26	11.19	9.44	100	16
3	1	221	0	0	0	1222.879000	912.439994	8.803288	13.492800	-1	###FLOW###
4	1	221	0	0	0	1222.879000	912.439994	8.803288	13.492800	-1	###LINE###
5	1	221	0	0	0	1222.88	912.44	8.80	13.49	100	F
3	1	222	0	0	0	1849.910106	883.782554	30.972009	13.759200	-1	###FLOW###
4	1	222	0	0	0	1849.910106	883.782554	30.972009	13.759200	-1	###LINE###
5	1	222	0	0	0	1849.91	885.73	18.68	10.79	100	1'-6
5	1	222	0	0	1	1869.04	883.78	5.59	9.44	100	1
5	1	222	0	0	2	1873.36	884.67	3.33	11.24	100	/
5	1	222	0	0	3	1875.29	888.10	5.59	9.44	100	2
3	1	223	0	0	0	1726.698240	985.099724	10.794240	6.348408	-1	###FLOW###
4	1	223	0	0	0	1726.698240	985.099724	10.794240	6.348408	-1	###LINE###
5	1	223	0	0	0	1726.70	985.10	10.79	6.35	100	7
3	1	224	0	0	0	1107.237714	898.690874	31.742040	10.794240	-1	###FLOW###
4	1	224	0	0	0	1107.237714	898.690874	31.742040	10.794240	-1	###LINE###
5	1	224	0	0	0	1107.24	898.69	31.74	10.79	100	p1016
3	1	225	0	0	0	1351.398360	849.439994	9.610136	13.492800	-1	###FLOW###
4	1	225	0	0	0	1351.398360	849.439994	9.610136	13.492800	-1	###LINE###
5	1	225	0	0	0	1351.40	849.44	9.61	13.49	100	B
3	1	226	0	0	0	1671.949158	814.329914	31.742040	10.794240	-1	###FLOW###
4	1	226	0	0	0	1671.949158	814.329914	31.742040	10.794240	-1	###LINE###
5	1	226	0	0	0	1671.95	814.33	31.74	10.79	100	a1006
3	1	227	0	0	0	1551.831798	821.771834	25.485787	10.794240	-1	###FLOW###
4	1	227	0	0	0	1551.831798	821.771834	25.485787	10.794240	-1	###LINE###
5	1	227	0	0	0	1551.83	821.77	25.49	10.79	100	TYP.
3	1	228	0	0	0	1436.647680	976.330700	10.794240	23.749440	-1	###FLOW###
4	1	228	0	0	0	1436.647680	976.330700	10.794240	23.749440	-1	###LINE###
5	1	228	0	0	0	1436.65	993.73	10.79	6.35	100	2
5	1	228	0	0	1	1436.65	976.33	10.79	6.35	100	2
3	1	229	0	0	0	736.072788	856.688954	25.485787	10.794240	-1	###FLOW###
4	1	229	0	0	0	736.072788	856.688954	25.485787	10.794240	-1	###LINE###
5	1	229	0	0	0	736.07	856.69	25.49	10.79	100	TYP.
3	1	230	0	0	0	696.253803	863.864474	11.718735	13.406400	-1	###FLOW###
4	1	230	0	0	0	696.253803	863.864474	11.718735	13.406400	-1	###LINE###
5	1	230	0	0	0	696.25	863.86	5.59	9.44	100	1
5	1	230	0	0	1	700.70	864.99	3.33	11.24	100	/
5	1	230	0	0	2	702.38	867.83	5.59	9.44	100	4
3	1	231	0	0	0	1288.183680	851.478023	13.759200	29.569467	-1	###FLOW###
4	1	231	0	0	0	1288.183680	851.478023	13.759200	29.569467	-1	###LINE###
5	1	231	0	0	0	1290.25	874.70	10.79	6.35	100	1
5	1	231	0	0	1	1288.18	863.36	9.44	11.19	100	15
5	1	231	0	0	2	1289.18	861.26	11.24	3.33	100	/
5	1	231	0	0	3	1292.50	851.48	9.44	11.19	100	16
3	1	232	0	0	0	226.666656	849.439994	9.610136	13.492800	-1	###FLOW###
4	1	232	0	0	0	226.666656	849.439994	9.610136	13.492800	-1	###LINE###
5	1	232	0	0	0	226.67	849.44	9.61	13.49	100	B
3	1	233	0	0	0	225.586056	1128.799994	9.610136	13.492800	-1	###FLOW###
4	1	233	0	0	0	225.586056	1128.799994	9.610136	13.492800	-1	###LINE###
5	1	233	0	0	0	225.59	1128.80	9.61	13.49	100	A
3	1	234	0	0	0	1767.711924	736.811834	47.112050	10.794240	-1	###FLOW###
4	1	234	0	0	0	1767.711924	736.811834	47.112050	10.794240	-1	###LINE###
5	1	234	0	0	0	1767.71	736.81	47.11	10.79	100	1017FR1
3	1	235	0	0	0	1288.183680	790.389716	13.759200	23.930982	-1	###FLOW###
4	1	235	0	0	0	1288.183680	790.389716	13.759200	23.930982	-1	###LINE###
5	1	235	0	0	0	1290.25	807.97	10.79	6.35	100	3
5	1	235	0	0	1	1288.18	802.23	9.44	5.59	100	5
5	1	235	0	0	2	1289.18	800.18	11.24	3.33	100	/
5	1	235	0	0	3	1292.50	790.39	9.44	11.19	100	16
3	1	236	0	0	0	352.199628	788.294714	47.112050	10.794240	-1	###FLOW###
4	1	236	0	0	0	352.199628	788.294714	47.112050	10.794240	-1	###LINE###
5	1	236	0	0	0	352.20	788.29	47.11	10.79	100	1017FR1
3	1	237	0	0	0	1657.790838	714.370874	31.742040	10.794240	-1	###FLOW###
4	1	237	0	0	0	1657.790838	714.370874	31.742040	10.794240	-1	###LINE###
5	1	237	0	0	0	1657.79	714.37	31.74	10.79	100	p1017
3	1	238	0	0	0	1553.750022	718.932794	25.485787	10.794240	-1	###FLOW###
4	1	238	0	0	0	1553.750022	718.932794	25.485787	10.794240	-1	###LINE###
5	1	238	0	0	0	1553.75	718.93	25.49	10.79	100	TYP.
3	1	239	0	0	0	1265.639628	750.013754	33.774444	27.475200	-1	###FLOW###
4	1	239	0	0	0	1265.639628	750.013754	31.742040	10.794240	-1	###LINE###
5	1	239	0	0	0	1265.64	750.01	31.74	10.79	100	p1021
4	1	239	0	1	0	1267.672032	766.694714	31.742040	10.794240	-1	###LINE###
5	1	239	0	1	0	1267.67	766.69	31.74	10.79	100	p1052
3	1	240	0	0	0	1222.879000	761.355194	8.803288	13.492800	-1	###FLOW###
4	1	240	0	0	0	1222.879000	761.355194	8.803288	13.492800	-1	###LINE###
5	1	240	0	0	0	1222.88	761.36	8.80	13.49	100	F
3	1	241	0	0	0	1174.885952	764.839994	10.402576	13.492800	-1	###FLOW###
4	1	241	0	0	0	1174.885952	764.839994	10.402576	13.492800	-1	###LINE###
5	1	241	0	0	0	1174.89	764.84	10.40	13.49	100	C
3	1	242	0	0	0	869.364312	765.790394	10.402576	13.492800	-1	###FLOW###
4	1	242	0	0	0	869.364312	765.790394	10.402576	13.492800	-1	###LINE###
5	1	242	0	0	0	869.36	765.79	10.40	13.49	100	D
3	1	243	0	0	0	1508.316873	725.980154	17.422188	13.406400	-1	###FLOW###
4	1	243	0	0	0	1508.316873	725.980154	17.422188	13.406400	-1	###LINE###
5	1	243	0	0	0	1508.32	725.98	5.59	9.44	100	3
5	1	243	0	0	1	1512.87	727.11	3.33	11.24	100	/
5	1	243	0	0	2	1514.55	729.94	11.19	9.44	100	16
3	1	244	0	0	0	1748.324613	685.186394	11.708676	13.759200	-1	###FLOW###
4	1	244	0	0	0	1748.324613	685.186394	11.708676	13.759200	-1	###LINE###
5	1	244	0	0	0	1748.32	685.19	5.59	9.44	100	1
5	1	244	0	0	1	1752.76	686.19	3.33	11.24	100	/
5	1	244	0	0	2	1754.44	689.50	5.59	9.44	100	8
3	1	245	0	0	0	1749.706560	1021.947896	13.759200	18.460620	-1	###FLOW###
4	1	245	0	0	0	1749.706560	1021.947896	13.759200	18.460620	-1	###LINE###
5	1	245	0	0	0	1751.78	1034.06	10.79	6.35	100	1
5	1	245	0	0	1	1749.71	1028.32	9.44	5.59	100	1
5	1	245	0	0	2	1750.70	1026.26	11.24	3.33	100	/
5	1	245	0	0	3	1754.02	1021.95	9.44	5.59	100	2
3	1	246	0	0	0	258.960240	704.774714	6.348408	10.794240	-1	###FLOW###
4	1	246	0	0	0	258.960240	704.774714	6.348408	10.794240	-1	###LINE###
5	1	246	0	0	0	258.96	704.77	6.35	10.79	100	2
3	1	247	0	0	0	1249.710042	680.025434	11.708676	13.759200	-1	###FLOW###
4	1	247	0	0	0	1249.710042	680.025434	11.708676	13.759200	-1	###LINE###
5	1	247	0	0	0	1249.71	680.03	5.59	9.44	100	3
5	1	247	0	0	1	1254.14	681.03	3.33	11.24	100	/
5	1	247	0	0	2	1255.83	684.34	5.59	9.44	100	4
3	1	248	0	0	0	1667.625120	734.180024	13.759200	18.346458	-1	###FLOW###
4	1	248	0	0	0	1667.625120	734.180024	13.759200	18.346458	-1	###LINE###
5	1	248	0	0	0	1669.57	746.18	10.79	6.35	100	3
5	1	248	0	0	1	1667.63	740.43	9.44	5.59	100	3
5	1	248	0	0	2	1668.50	738.38	11.24	3.33	100	/
5	1	248	0	0	3	1671.94	734.18	9.44	5.59	100	8
3	1	249	0	0	0	733.435230	680.025434	43.773405	13.759200	-1	###FLOW###
4	1	249	0	0	0	733.435230	680.025434	43.773405	13.759200	-1	###LINE###
5	1	249	0	0	0	733.44	681.98	31.38	10.79	100	13'-11
5	1	249	0	0	1	765.38	680.03	5.59	9.44	100	1
5	1	249	0	0	2	769.69	681.03	3.33	11.24	100	/
5	1	249	0	0	3	771.62	684.34	5.59	9.44	100	4
3	1	250	0	0	0	1109.979360	1363.722539	13.769280	30.918009	-1	###FLOW###
4	1	250	0	0	0	1109.979360	1363.722539	13.769280	30.918009	-1	###LINE###
5	1	250	0	0	0	1111.93	1375.96	10.79	18.68	100	1'-3
5	1	250	0	0	1	1109.98	1370.08	9.44	5.59	100	1
5	1	250	0	0	2	1110.98	1368.03	11.24	3.33	100	/
5	1	250	0	0	3	1114.30	1363.72	9.44	5.59	100	8
3	1	251	0	0	0	1283.988354	1343.777594	31.742040	10.794240	-1	###FLOW###
4	1	251	0	0	0	1283.988354	1343.777594	31.742040	10.794240	-1	###LINE###
5	1	251	0	0	0	1283.99	1343.78	31.74	10.79	100	p1052
3	1	252	0	0	0	901.553862	1419.129914	31.742040	10.794240	-1	###FLOW###
4	1	252	0	0	0	901.553862	1419.129914	31.742040	10.794240	-1	###LINE###
5	1	252	0	0	0	901.55	1419.13	31.74	10.79	100	a1005
3	1	252	1	0	0	1289.035110	1430.407994	21.655744	10.794240	-1	###FLOW###
4	1	252	1	0	0	1289.035110	1430.407994	21.655744	10.794240	-1	###LINE###
5	1	252	1	0	0	1289.04	1430.41	21.66	10.79	100	CJP
3	1	253	0	0	0	1109.979360	1440.402296	13.769280	18.316068	-1	###FLOW###
4	1	253	0	0	0	1109.979360	1440.402296	13.769280	18.316068	-1	###LINE###
5	1	253	0	0	0	1111.93	1452.37	10.79	6.35	100	2
5	1	253	0	0	1	1109.98	1446.64	9.44	5.59	100	3
5	1	253	0	0	2	1110.98	1444.59	11.24	3.33	100	/
5	1	253	0	0	3	1114.30	1440.40	9.44	5.59	100	8
3	1	254	0	0	0	782.155836	1418.058554	31.742040	10.794240	-1	###FLOW###
4	1	254	0	0	0	782.155836	1418.058554	31.742040	10.794240	-1	###LINE###
5	1	254	0	0	0	782.16	1418.06	31.74	10.79	100	a1006
3	1	255	0	0	0	1300.076316	1380.733754	21.655744	10.794240	-1	###FLOW###
4	1	255	0	0	0	1300.076316	1380.733754	21.655744	10.794240	-1	###LINE###
5	1	255	0	0	0	1300.08	1380.73	21.66	10.79	100	CJP
3	1	256	0	0	0	752.280563	1474.608194	128.126236	16.303800	-1	###FLOW###
4	1	256	0	0	0	752.280563	1474.608194	128.126236	16.303800	-1	###LINE###
5	1	256	0	0	0	752.28	1474.61	77.62	16.30	100	SECTION
5	1	256	0	0	1	833.76	1474.61	5.79	16.30	100	-
5	1	256	0	0	2	843.49	1474.61	11.61	16.30	100	A
5	1	256	0	0	3	859.08	1474.61	5.79	16.30	100	-
5	1	256	0	0	4	868.80	1474.61	11.61	16.30	100	A
3	1	256	1	0	0	285.963810	1509.492794	16.487592	10.794240	-1	###FLOW###
4	1	256	1	0	0	285.963810	1509.492794	16.487592	10.794240	-1	###LINE###
5	1	256	1	0	0	285.96	1509.49	16.49	10.79	100	RD
